Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Geographic Area Name_x,Area_Type,Tract_x,Plurality Race,Tract_y, !!Total:!!Population of one race:!!White alone_PROPORTION, !!Total:!!Population of one race:!!Black or African American alone_PROPORTION, !!Total:!!Population of one race:!!American Indian and Alaska Native alone_PROPORTION, !!Total:!!Population of one race:!!Asian alone_PROPORTION, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone_PROPORTION, !!Total:!!Population of one race:!!Some Other Race alone_PROPORTION,FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000",Geographic Area Name_y,Estimate!!Total!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!AGE!!16 to 19 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher
4033.01,54.7,4033.01,Urban,4033.01,Asian,4033.01,0.09904952476238119,0.11155577788894447,0.0005002501250625312,0.7068534267133567,0.002001000500250125,0.025512756378189096,6001403301,4033.01,3,"1,999","2,002",150,4033.01,1460,15.3,125,825,239,311,159,116
4033.02,6.2,4033.02,Urban,4033.02,White,4033.02,0.4236024844720497,0.13043478260869565,0.004037267080745342,0.26335403726708073,0.006211180124223602,0.05124223602484472,6001403302,4033.02,2,"3,220","3,222",62,4033.02,2252,0.0,14,2041,38,79,181,1743
4034.01,22.6,4034.01,Urban,4034.01,White,4034.01,0.41504453975585615,0.1507753216760145,0.004618937644341801,0.27152754866380735,0.005608709996700759,0.0557571758495546,6001403401,4034.01,5,"3,031","3,036",165,4034.01,2675,5.0,0,1635,59,88,292,1196
4034.02,0.0,4034.02,Urban,4034.02,White,4034.02,0.33661417322834647,0.2106299212598425,0.009186351706036745,0.2650918635170604,0.0026246719160104987,0.05971128608923885,6001403402,4034.02,2,"1,524","1,526",131,4034.02,1349,3.2,15,1210,25,108,383,694
4035.01,14.1,4035.01,Urban,4035.01,White,4035.01,0.379421768707483,0.22891156462585033,0.005782312925170068,0.23469387755102042,0.004251700680272109,0.04115646258503401,6001403501,4035.01,7,"5,880","5,887",119,4035.01,4242,5.3,49,3138,95,122,700,2221
4035.02,9.2,4035.02,Urban,4035.02,White,4035.02,0.49767225325884545,0.17411545623836128,0.0074487895716946,0.1424581005586592,0.00186219739292365,0.04283054003724395,6001403502,4035.02,2,"2,148","2,150",93,4035.02,1766,2.9,0,1411,49,79,237,1046
4036.0,13.0,4036.0,Urban,4036.0,White,4036.0,0.4070383718465126,0.2700869196523214,0.006571973712105152,0.13716345134619462,0.0033919864320542717,0.051515793936824254,6001403600,4036.0,3,"4,717","4,720",64,4036.0,4802,4.7,53,4092,237,530,682,2643
4037.01,13.0,4037.01,Urban,4037.01,White,4037.01,0.5251256281407035,0.14860014357501794,0.004307250538406317,0.15865039483129936,0.002512562814070352,0.050969131371141424,6001403701,4037.01,3,"2,786","2,789",108,4037.01,2725,4.2,6,1895,46,103,363,1383
4037.02,8.9,4037.02,Urban,4037.02,White,4037.02,0.5137273150302466,0.18380642159143787,0.0037226617031177293,0.13959981386691483,0.004187994416007445,0.041879944160074456,6001403702,4037.02,0,"2,149","2,149",0,4037.02,1744,3.3,10,1428,41,77,305,1005
4038.0,3.7,4038.0,Urban,4038.0,White,4038.0,0.6048517520215634,0.08679245283018867,0.00431266846361186,0.13153638814016172,0.0026954177897574125,0.029919137466307276,6001403800,4038.0,6,"3,710","3,716",161,4038.0,3051,1.2,29,2424,53,114,312,1945
