"GEO_ID","NAME","H2_001N","H2_001NA","H2_002N","H2_002NA","H2_003N","H2_003NA","H2_004N","H2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0400000US06","California","14392140","null","13445407","null","946733","null","0","null",
"1400000US06001409100","Census Tract 4091; Alameda County; California","677","null","677","null","0","null","0","null",
"1400000US06001409200","Census Tract 4092; Alameda County; California","965","null","965","null","0","null","0","null",
"1400000US06001409300","Census Tract 4093; Alameda County; California","1635","null","1635","null","0","null","0","null",
"1400000US06001409400","Census Tract 4094; Alameda County; California","1353","null","1353","null","0","null","0","null",
"1400000US06001409500","Census Tract 4095; Alameda County; California","1123","null","1123","null","0","null","0","null",
"1400000US06001409600","Census Tract 4096; Alameda County; California","1585","null","1585","null","0","null","0","null",
"1400000US06001409700","Census Tract 4097; Alameda County; California","1749","null","1749","null","0","null","0","null",
"1400000US06001409800","Census Tract 4098; Alameda County; California","1268","null","1268","null","0","null","0","null",
"1400000US06001409900","Census Tract 4099; Alameda County; California","1425","null","1425","null","0","null","0","null",
"1400000US06001410000","Census Tract 4100; Alameda County; California","1182","null","1182","null","0","null","0","null",
"1400000US06001410100","Census Tract 4101; Alameda County; California","1098","null","1098","null","0","null","0","null",
"1400000US06001410200","Census Tract 4102; Alameda County; California","1234","null","1234","null","0","null","0","null",
"1400000US06001410300","Census Tract 4103; Alameda County; California","1067","null","1067","null","0","null","0","null",
"1400000US06001410400","Census Tract 4104; Alameda County; California","1361","null","1361","null","0","null","0","null",
"1400000US06001410500","Census Tract 4105; Alameda County; California","915","null","915","null","0","null","0","null",
"1400000US06001420100","Census Tract 4201; Alameda County; California","954","null","954","null","0","null","0","null",
"1400000US06001420200","Census Tract 4202; Alameda County; California","1306","null","1306","null","0","null","0","null",
"1400000US06001420301","Census Tract 4203.01; Alameda County; California","1140","null","1140","null","0","null","0","null",
"1400000US06001420302","Census Tract 4203.02; Alameda County; California","1010","null","1010","null","0","null","0","null",
"1400000US06001420401","Census Tract 4204.01; Alameda County; California","478","null","478","null","0","null","0","null",
"1400000US06001420402","Census Tract 4204.02; Alameda County; California","661","null","661","null","0","null","0","null",
"1400000US06001420500","Census Tract 4205; Alameda County; California","1004","null","1004","null","0","null","0","null",
"1400000US06001420600","Census Tract 4206; Alameda County; California","1354","null","1354","null","0","null","0","null",
"1400000US06001421100","Census Tract 4211; Alameda County; California","879","null","879","null","0","null","0","null",
"1400000US06001421200","Census Tract 4212; Alameda County; California","1520","null","1520","null","0","null","0","null",
"1400000US06001421300","Census Tract 4213; Alameda County; California","1726","null","1726","null","0","null","0","null",
"1400000US06001421400","Census Tract 4214; Alameda County; California","686","null","686","null","0","null","0","null",
"1400000US06001421500","Census Tract 4215; Alameda County; California","1649","null","1649","null","0","null","0","null",
"1400000US06001421600","Census Tract 4216; Alameda County; California","1701","null","1701","null","0","null","0","null",
"1400000US06001421700","Census Tract 4217; Alameda County; California","1696","null","1696","null","0","null","0","null",
"1400000US06001421800","Census Tract 4218; Alameda County; California","939","null","939","null","0","null","0","null",
"1400000US06001421900","Census Tract 4219; Alameda County; California","1793","null","1793","null","0","null","0","null",
"1400000US06001422000","Census Tract 4220; Alameda County; California","1390","null","1381","null","9","null","0","null",
"1400000US06001422100","Census Tract 4221; Alameda County; California","1372","null","1372","null","0","null","0","null",
"1400000US06001422200","Census Tract 4222; Alameda County; California","1678","null","1678","null","0","null","0","null",
"1400000US06001422300","Census Tract 4223; Alameda County; California","1956","null","1956","null","0","null","0","null",
"1400000US06001422400","Census Tract 4224; Alameda County; California","2320","null","2320","null","0","null","0","null",
"1400000US06001422500","Census Tract 4225; Alameda County; California","1783","null","1783","null","0","null","0","null",
"1400000US06001422700","Census Tract 4227; Alameda County; California","1308","null","1308","null","0","null","0","null",
"1400000US06001422800","Census Tract 4228; Alameda County; California","2325","null","2325","null","0","null","0","null",
"1400000US06001422901","Census Tract 4229.01; Alameda County; California","1254","null","1254","null","0","null","0","null",
"1400000US06001422902","Census Tract 4229.02; Alameda County; California","1421","null","1421","null","0","null","0","null",
"1400000US06001423000","Census Tract 4230; Alameda County; California","2293","null","2293","null","0","null","0","null",
"1400000US06001423100","Census Tract 4231; Alameda County; California","2076","null","2076","null","0","null","0","null",
"1400000US06001423200","Census Tract 4232; Alameda County; California","1252","null","1252","null","0","null","0","null",
"1400000US06001423300","Census Tract 4233; Alameda County; California","1683","null","1683","null","0","null","0","null",
"1400000US06001423400","Census Tract 4234; Alameda County; California","2242","null","2242","null","0","null","0","null",
"1400000US06001423500","Census Tract 4235; Alameda County; California","1618","null","1618","null","0","null","0","null",
"1400000US06001423601","Census Tract 4236.01; Alameda County; California","1348","null","1348","null","0","null","0","null",
"1400000US06001423602","Census Tract 4236.02; Alameda County; California","2853","null","2853","null","0","null","0","null",
"1400000US06001423700","Census Tract 4237; Alameda County; California","1564","null","1564","null","0","null","0","null",
"1400000US06001423800","Census Tract 4238; Alameda County; California","1449","null","1449","null","0","null","0","null",
"1400000US06001423901","Census Tract 4239.01; Alameda County; California","960","null","960","null","0","null","0","null",
"1400000US06001423902","Census Tract 4239.02; Alameda County; California","749","null","749","null","0","null","0","null",
"1400000US06001424001","Census Tract 4240.01; Alameda County; California","1667","null","1667","null","0","null","0","null",
"1400000US06001424002","Census Tract 4240.02; Alameda County; California","1086","null","1086","null","0","null","0","null",
"1400000US06001425101","Census Tract 4251.01; Alameda County; California","1353","null","1353","null","0","null","0","null",
"1400000US06001425102","Census Tract 4251.02; Alameda County; California","2324","null","2324","null","0","null","0","null",
"1400000US06001425103","Census Tract 4251.03; Alameda County; California","1533","null","1533","null","0","null","0","null",
"1400000US06001425104","Census Tract 4251.04; Alameda County; California","2315","null","2315","null","0","null","0","null",
"1400000US06001426100","Census Tract 4261; Alameda County; California","2207","null","2207","null","0","null","0","null",
"1400000US06001426200","Census Tract 4262; Alameda County; California","1745","null","1745","null","0","null","0","null",
"1400000US06001427100","Census Tract 4271; Alameda County; California","1509","null","1509","null","0","null","0","null",
"1400000US06001427200","Census Tract 4272; Alameda County; California","1772","null","1772","null","0","null","0","null",
"1400000US06001427300","Census Tract 4273; Alameda County; California","2357","null","2357","null","0","null","0","null",
"1400000US06001427600","Census Tract 4276; Alameda County; California","1866","null","1866","null","0","null","0","null",
"1400000US06001427700","Census Tract 4277; Alameda County; California","2573","null","2573","null","0","null","0","null",
"1400000US06001427800","Census Tract 4278; Alameda County; California","2168","null","2168","null","0","null","0","null",
"1400000US06001427900","Census Tract 4279; Alameda County; California","2228","null","2228","null","0","null","0","null",
"1400000US06001428000","Census Tract 4280; Alameda County; California","1447","null","1447","null","0","null","0","null",
"1400000US06001428100","Census Tract 4281; Alameda County; California","2118","null","2118","null","0","null","0","null",
"1400000US06001428200","Census Tract 4282; Alameda County; California","2788","null","2788","null","0","null","0","null",
"1400000US06001428301","Census Tract 4283.01; Alameda County; California","2546","null","2546","null","0","null","0","null",
"1400000US06001428302","Census Tract 4283.02; Alameda County; California","2690","null","2690","null","0","null","0","null",
"1400000US06001428400","Census Tract 4284; Alameda County; California","2037","null","2037","null","0","null","0","null",
"1400000US06001428500","Census Tract 4285; Alameda County; California","1564","null","1564","null","0","null","0","null",
"1400000US06001428600","Census Tract 4286; Alameda County; California","1640","null","1640","null","0","null","0","null",
"1400000US06001428700","Census Tract 4287; Alameda County; California","1706","null","1706","null","0","null","0","null",
"1400000US06001430101","Census Tract 4301.01; Alameda County; California","2309","null","2267","null","42","null","0","null",
"1400000US06001430102","Census Tract 4301.02; Alameda County; California","949","null","848","null","101","null","0","null",
"1400000US06001430200","Census Tract 4302; Alameda County; California","2546","null","2535","null","11","null","0","null",
"1400000US06001430300","Census Tract 4303; Alameda County; California","1384","null","1384","null","0","null","0","null",
"1400000US06001430400","Census Tract 4304; Alameda County; California","767","null","766","null","1","null","0","null",
"1400000US06001430500","Census Tract 4305; Alameda County; California","2256","null","2256","null","0","null","0","null",
"1400000US06001430600","Census Tract 4306; Alameda County; California","2199","null","2199","null","0","null","0","null",
"1400000US06001430700","Census Tract 4307; Alameda County; California","1440","null","1440","null","0","null","0","null",
"1400000US06001430800","Census Tract 4308; Alameda County; California","2268","null","2268","null","0","null","0","null",
"1400000US06001430900","Census Tract 4309; Alameda County; California","1925","null","1925","null","0","null","0","null",
"1400000US06001431000","Census Tract 4310; Alameda County; California","1264","null","1264","null","0","null","0","null",
"1400000US06001431100","Census Tract 4311; Alameda County; California","1403","null","1403","null","0","null","0","null",
"1400000US06001431200","Census Tract 4312; Alameda County; California","2696","null","2696","null","0","null","0","null",
"1400000US06001432100","Census Tract 4321; Alameda County; California","1498","null","1498","null","0","null","0","null",
"1400000US06001432200","Census Tract 4322; Alameda County; California","1811","null","1811","null","0","null","0","null",
"1400000US06001432300","Census Tract 4323; Alameda County; California","1720","null","1720","null","0","null","0","null",
"1400000US06001432400","Census Tract 4324; Alameda County; California","1953","null","1953","null","0","null","0","null",
"1400000US06001432501","Census Tract 4325.01; Alameda County; California","1525","null","1525","null","0","null","0","null",
"1400000US06001432502","Census Tract 4325.02; Alameda County; California","1486","null","1486","null","0","null","0","null",
"1400000US06001432601","Census Tract 4326.01; Alameda County; California","1890","null","1890","null","0","null","0","null",
"1400000US06001432602","Census Tract 4326.02; Alameda County; California","1405","null","1405","null","0","null","0","null",
"1400000US06001432700","Census Tract 4327; Alameda County; California","1081","null","1081","null","0","null","0","null",
"1400000US06001432800","Census Tract 4328; Alameda County; California","1532","null","1532","null","0","null","0","null",
"1400000US06001433000","Census Tract 4330; Alameda County; California","1483","null","1483","null","0","null","0","null",
"1400000US06001433102","Census Tract 4331.02; Alameda County; California","1403","null","1403","null","0","null","0","null",
"1400000US06001433103","Census Tract 4331.03; Alameda County; California","1551","null","1551","null","0","null","0","null",
"1400000US06001433104","Census Tract 4331.04; Alameda County; California","1925","null","1925","null","0","null","0","null",
"1400000US06001433200","Census Tract 4332; Alameda County; California","2892","null","2892","null","0","null","0","null",
"1400000US06001433300","Census Tract 4333; Alameda County; California","2245","null","2245","null","0","null","0","null",
"1400000US06001433400","Census Tract 4334; Alameda County; California","2393","null","2393","null","0","null","0","null",
"1400000US06001433500","Census Tract 4335; Alameda County; California","1439","null","1439","null","0","null","0","null",
"1400000US06001433600","Census Tract 4336; Alameda County; California","2175","null","2175","null","0","null","0","null",
"1400000US06001433700","Census Tract 4337; Alameda County; California","1102","null","1102","null","0","null","0","null",
"1400000US06001433801","Census Tract 4338.01; Alameda County; California","1236","null","1236","null","0","null","0","null",
"1400000US06001433802","Census Tract 4338.02; Alameda County; California","1393","null","1393","null","0","null","0","null",
"1400000US06001433900","Census Tract 4339; Alameda County; California","2406","null","2406","null","0","null","0","null",
"1400000US06001434000","Census Tract 4340; Alameda County; California","1887","null","1887","null","0","null","0","null",
"1400000US06001435102","Census Tract 4351.02; Alameda County; California","1767","null","1767","null","0","null","0","null",
"1400000US06001435103","Census Tract 4351.03; Alameda County; California","2550","null","2263","null","287","null","0","null",
"1400000US06001435104","Census Tract 4351.04; Alameda County; California","2940","null","2938","null","2","null","0","null",
"1400000US06001435200","Census Tract 4352; Alameda County; California","1477","null","1477","null","0","null","0","null",
"1400000US06001435300","Census Tract 4353; Alameda County; California","1772","null","1772","null","0","null","0","null",
"1400000US06001435400","Census Tract 4354; Alameda County; California","2187","null","2187","null","0","null","0","null",
"1400000US06001435500","Census Tract 4355; Alameda County; California","1540","null","1540","null","0","null","0","null",
