Plurality Race,Tract Number
Some Other Race,17.0
White,18.0
Some Other Race,20.0
White,21.0
White,22.0
White,23.0
Some Other Race,24.0
Some Other Race,25.01
Some Other Race,25.02
Some Other Race,26.01
Some Other Race,26.02
Some Other Race,27.01
Some Other Race,27.02
Some Other Race,28.0
Some Other Race,29.03
Some Other Race,29.04
Some Other Race,29.05
Some Other Race,29.06
Asian,30.01
Some Other Race,30.03
Some Other Race,30.04
White,31.02
White,31.03
White,31.04
Some Other Race,32.01
Some Other Race,32.02
Some Other Race,33.01
Some Other Race,33.02
Some Other Race,34.01
Some Other Race,34.02
White,35.0
White,36.0
Some Other Race,37.01
Some Other Race,37.02
Some Other Race,38.04
Some Other Race,38.05
Some Other Race,38.07
Some Other Race,38.08
Some Other Race,38.09
Some Other Race,38.1
Asian,38.11
White,38.12
Some Other Race,39.0
Some Other Race,40.03
Some Other Race,40.04
Some Other Race,40.05
Some Other Race,40.06
Some Other Race,41.0
Some Other Race,42.05
White,42.08
White,42.1
White,42.11
White,42.12
White,42.13
White,42.14
White,42.15
White,42.16
Some Other Race,42.17
Asian,42.18
White,43.01
White,43.02
White,43.03
White,44.04
White,44.05
White,44.06
White,44.09
White,44.1
White,44.11
White,45.03
White,45.04
White,45.05
White,45.06
White,46.01
White,46.02
Some Other Race,47.03
Some Other Race,47.04
White,47.05
White,47.06
Some Other Race,48.01
White,48.02
White,49.01
White,49.02
White,50.0
White,51.0
Some Other Race,52.02
Some Other Race,52.03
White,52.04
White,53.01
White,53.02
White,53.04
White,53.05
White,54.03
White,54.05
White,54.06
White,54.07
White,54.08
White,54.09
White,54.1
White,55.03
White,55.04
White,55.05
White,55.07
White,55.08
White,55.09
White,55.12
White,55.13
White,55.14
White,55.15
White,55.16
White,55.18
White,55.2
White,55.22
White,55.24
White,55.25
White,55.26
White,55.27
White,55.28
White,55.29
White,56.02
White,56.05
White,56.06
White,56.07
White,56.08
White,57.01
White,57.02
White,57.03
White,57.04
White,58.01
White,58.02
White,58.04
White,58.05
White,59.04
White,59.06
White,59.07
White,59.11
White,59.12
White,59.13
White,59.14
White,59.15
White,59.16
White,60.01
Some Other Race,60.02
Some Other Race,61.01
Some Other Race,61.02
Some Other Race,62.01
Some Other Race,62.02
White,63.01
White,63.02
White,64.05
White,64.06
White,64.07
White,64.08
White,64.09
White,64.1
White,64.11
Some Other Race,65.01
Some Other Race,65.02
Some Other Race,66.02
White,66.03
Some Other Race,66.05
Some Other Race,66.06
White,67.0
Some Other Race,68.02
Some Other Race,69.0
Some Other Race,70.02
Some Other Race,70.03
White,70.04
Some Other Race,71.01
Some Other Race,71.02
White,72.02
White,72.03
White,72.04
Some Other Race,73.0
White,74.0
Some Other Race,75.0
Some Other Race,76.0
Some Other Race,77.0
Some Other Race,78.01
Some Other Race,78.02
Some Other Race,79.03
White,80.0
White,81.0
Some Other Race,82.0
Some Other Race,83.01
Some Other Race,83.03
Some Other Race,83.04
Some Other Race,84.02
Some Other Race,84.03
Some Other Race,84.04
Some Other Race,84.05
Some Other Race,85.01
Some Other Race,85.03
Some Other Race,85.04
White,86.0
White,101.01
White,101.02
White,102.0
White,103.0
White,104.01
White,104.02
Some Other Race,105.01
White,105.02
White,1.0
White,2.0
White,3.0
White,4.0
White,5.0
White,6.0
White,7.0
White,8.0
White,9.0
White,10.01
White,10.02
White,11.02
White,11.03
White,12.0
White,13.0
White,101.02
White,102.0
White,103.0
White,104.0
White,105.02
White,105.03
White,105.04
White,106.0
White,107.01
White,107.02
White,108.0
White,109.01
White,109.02
White,110.0
White,111.0
White,112.0
White,115.01
White,115.02
White,116.0
American,9400.0
Some Other Race,101.01
Some Other Race,101.02
White,102.0
White,103.0
Some Other Race,104.01
Some Other Race,104.02
Some Other Race,105.0
White,106.0
Some Other Race,107.0
White,108.0
Some Other Race,109.0
Some Other Race,110.01
White,110.02
Some Other Race,111.0
Some Other Race,112.01
Some Other Race,112.02
Some Other Race,113.01
Some Other Race,113.02
Some Other Race,113.03
Some Other Race,114.0
Some Other Race,115.0
Some Other Race,116.0
Some Other Race,117.0
White,118.01
Some Other Race,118.02
Some Other Race,118.03
Some Other Race,119.01
Some Other Race,119.02
Some Other Race,119.03
Some Other Race,120.01
Some Other Race,120.03
Some Other Race,120.04
Some Other Race,121.01
Some Other Race,121.02
Some Other Race,122.01
Some Other Race,122.02
Some Other Race,123.01
Some Other Race,123.02
White,124.0
American,9400.0
White,1.0
White,2.0
White,3.0
White,4.0
White,5.0
White,8.0
White,1.02
White,1.03
White,1.04
White,1.05
White,1.06
White,2.01
White,2.02
White,3.0
White,4.0
White,5.04
White,5.05
White,5.06
White,5.07
White,5.08
White,5.09
White,5.1
White,6.01
Some Other Race,6.02
Some Other Race,6.03
White,7.01
White,7.02
White,8.0
White,9.02
White,9.03
White,9.04
Some Other Race,9.05
Some Other Race,9.06
Some Other Race,9.07
White,9.08
White,9.09
White,9.11
White,9.12
White,9.13
White,9.14
White,10.01
Some Other Race,10.02
Some Other Race,10.03
Some Other Race,11.01
Some Other Race,11.04
Some Other Race,11.05
Some Other Race,11.06
Some Other Race,11.07
Some Other Race,12.01
Some Other Race,12.02
Some Other Race,13.01
Some Other Race,13.02
Some Other Race,14.01
Some Other Race,14.02
Some Other Race,15.0
Some Other Race,16.0
White,17.0
White,18.01
White,18.03
White,18.04
White,19.01
White,19.02
Some Other Race,20.01
Some Other Race,20.02
Some Other Race,21.0
Some Other Race,22.01
Some Other Race,22.02
Some Other Race,23.02
Some Other Race,23.03
Some Other Race,23.04
Some Other Race,23.05
Some Other Race,24.01
Some Other Race,24.02
Some Other Race,24.03
Some Other Race,25.01
Some Other Race,25.02
Some Other Race,25.03
Some Other Race,26.0
Some Other Race,27.01
Some Other Race,27.02
White,28.04
White,28.06
White,28.07
White,28.11
White,28.13
Some Other Race,28.14
White,28.15
Some Other Race,28.16
White,28.17
White,28.18
White,28.19
White,28.2
White,28.21
White,28.22
White,28.23
Some Other Race,28.24
White,28.25
Some Other Race,29.01
Some Other Race,29.02
Some Other Race,30.01
Some Other Race,30.02
Some Other Race,31.03
Some Other Race,31.12
Some Other Race,31.13
White,31.24
Some Other Race,31.25
Some Other Race,31.26
Some Other Race,31.27
Some Other Race,31.28
White,31.29
White,31.3
White,31.31
