Estimate!!Total!!Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Estimate!!Unemployment rate!!Population 16 years and over,Tract Number
79,10.1,4061.01
560,7.0,4061.03
299,10.6,4062.01
231,5.4,4063
188,6.9,4064.13
270,7.7,4065
368,4.4,4066.01
278,4.7,4066.02
106,5.5,4067.01
228,8.3,4067.02
215,8.3,4068.01
427,6.2,4069.03
379,8.9,4070.01
177,8.8,4070.02
277,3.3,4071.01
115,5.7,4071.02
285,8.0,4072.01
348,5.0,4072.02
176,6.0,4073.01
313,4.6,4073.02
39,5.9,4074
245,3.2,4075.01
210,6.5,4075.02
466,10.5,4076.01
111,13.5,4076.02
352,3.8,4077.01
298,4.5,4077.02
438,9.0,4078.01
72,4.6,4078.02
107,5.3,4079.01
55,7.2,4079.02
194,6.4,4080.03
70,3.9,4080.04
283,5.6,4080.05
350,7.5,4080.06
290,6.9,4081.33
308,2.2,4081.34
556,5.5,4081.35
134,3.8,4081.36
437,8.3,4081.37
171,4.6,4081.38
334,7.3,4081.39
174,7.1,4081.40
118,10.3,4081.41
150,8.4,4082.12
337,5.2,4082.13
319,7.3,4083.01
85,9.0,4083.02
156,8.0,4083.03
238,4.6,4084.01
182,7.0,4084.02
220,5.1,4085.03
306,7.8,4085.04
137,7.1,4085.05
94,4.5,4086.23
102,1.6,4086.24
258,1.3,4086.25
293,5.0,4086.26
91,1.0,4086.27
340,2.8,4086.28
97,4.8,4086.29
207,6.8,4086.31
147,4.1,4087.03
352,6.1,4087.05
72,2.4,4087.07
204,5.0,4087.22
433,7.2,4087.24
229,4.5,4087.25
864,9.9,4088
179,6.7,4089
903,6.4,4090
293,6.4,4091
217,5.7,4300.03
79,11.6,4300.04
77,13.7,4300.05
370,5.0,4301.01
173,6.4,4301.02
27,7.2,4302
204,3.2,4303.01
229,1.1,4303.02
80,2.6,4304
85,2.7,4305.01
238,6.4,4305.02
111,4.4,4306
313,2.5,4307.01
181,13.7,4307.21
327,4.0,4307.23
311,5.6,4307.24
203,6.8,4308.01
318,4.9,4308.02
200,2.5,4308.03
300,9.2,4309.01
278,4.8,4309.02
98,7.6,4310.02
341,3.8,4310.03
233,9.2,4310.04
221,5.2,4311
314,6.3,4312
154,2.7,4313
167,7.1,4314
260,3.0,4315.01
322,3.3,4315.02
133,2.5,4316
140,2.8,4317.01
338,5.4,4318
298,8.9,4319
33,4.3,4320.01
241,4.8,4320.02
104,3.9,4321.01
167,2.0,4321.02
241,1.9,4322.01
247,4.8,4322.02
353,9.2,4323
277,3.2,4324.01
634,4.2,4324.02
285,1.7,4325.01
139,4.1,4325.02
567,4.5,4326.01
185,2.8,4326.02
466,8.6,4327
240,2.6,4328.01
634,11.0,4328.02
341,4.2,4329.01
164,6.6,4329.02
659,7.1,4331.03
380,5.5,4332
128,0.6,4333.02
393,7.1,4333.04
607,5.6,4333.05
450,4.1,4333.06
217,4.7,4333.07
415,5.4,4334.02
421,5.9,4334.03
457,12.4,4335.05
574,13.7,4335.06
270,6.8,4336.01
308,8.3,4336.02
298,2.0,4338.03
814,3.8,4338.04
828,10.5,4339.01
589,4.1,4339.03
341,9.4,4340.01
392,8.4,4340.03
143,6.6,4340.04
488,4.1,4341
29,4.7,4600.01
81,7.3,4600.02
122,5.3,4601.01
229,11.6,4602
359,6.7,4603.01
297,13.8,4603.02
36,8.4,4604.01
116,3.3,4605.01
33,3.3,4605.02
118,3.4,4606.01
144,1.2,4607
43,5.0,4608
571,7.2,4609
233,5.8,4610
182,2.4,4611
83,2.7,4612
272,2.1,4613
206,1.6,4614
163,4.5,4615.01
863,2.7,4615.02
538,5.7,4616
48,7.5,4617
801,4.6,4619.01
463,8.4,4619.02
619,6.8,4620.01
661,1.5,4620.02
556,3.8,4621
451,5.4,4622.01
641,5.9,4622.02
438,7.4,4623.01
353,3.6,4623.02
227,2.1,4624
109,2.9,4625
83,12.4,4626
620,7.5,4627
228,2.9,4628
46,3.1,4629
124,3.9,4630
192,1.9,4631.03
204,7.4,4632
88,3.6,4633
135,2.1,4634
302,7.7,4635
548,3.3,4636.01
490,2.9,4636.02
162,2.9,4637
65,3.1,4638
125,9.6,4639
301,8.0,4640
132,1.8,4641.01
415,2.2,4641.02
110,2.3,4642
59,12.1,4800.02
414,4.9,4800.11
193,0.0,4800.12
192,7.1,4801.01
289,5.0,4801.02
0,4.8,4802.01
43,2.0,4802.02
138,1.7,4803.02
325,9.0,4803.03
453,2.4,4803.04
332,2.0,4804
244,1.5,4805
338,8.6,4806.01
84,3.1,4806.02
75,6.6,4807.02
88,3.9,4807.03
210,2.0,4807.04
315,4.5,4808.02
160,3.9,4808.03
341,3.4,4808.04
582,3.8,4809.01
565,4.6,4809.02
362,4.1,4809.03
242,3.7,4810.01
161,3.8,4810.02
320,6.1,4811.01
284,5.4,4811.02
440,2.9,4811.03
300,6.2,4812.01
338,5.7,4812.03
124,5.1,4813
620,3.8,4814.01
304,7.3,4814.03
87,4.6,4814.04
201,6.3,4815
196,7.7,4816.03
198,5.6,4816.04
194,3.0,4816.05
544,5.0,4816.06
283,5.0,4817.11
600,7.8,4817.12
252,6.6,4817.13
295,5.0,4817.14
40,2.7,4818
178,5.2,4819.01
347,1.9,4819.02
46,4.9,4820.01
347,8.0,4820.02
196,5.0,4821.01
116,4.4,4821.02
362,5.9,4822.01
418,5.1,4822.02
443,8.5,4823.01
540,5.0,4823.03
461,5.7,4823.04
222,4.6,4824.01
429,0.0,4824.03
45,3.0,4824.04
333,5.4,4825.02
206,5.3,4825.03
210,4.9,4825.21
130,4.7,4825.22
177,2.1,4826
200,4.6,4827.01
54,2.1,4827.02
167,7.7,4828.01
43,1.8,5001
22,3.1,5002.02
52,2.6,5002.03
50,2.1,5002.04
67,3.3,5003
192,1.5,5004.02
190,3.8,5004.03
92,3.6,5004.04
109,1.2,5005
133,2.3,5006
357,3.3,5007
125,3.4,5008
392,2.3,5009
199,2.7,5010.01
94,6.0,5010.02
132,4.8,5012
67,6.0,5013.01
90,8.1,5013.02
393,7.4,5014
95,4.7,5015.01
443,4.2,5015.03
245,1.4,5015.04
456,7.0,5016
102,3.7,5017
269,2.2,5018.02
367,4.3,5018.03
243,3.5,5018.04
253,5.5,5019
219,7.5,5020.03
306,4.1,5020.04
167,4.8,5020.05
391,2.4,5021
373,6.1,5022
548,4.2,5023.03
274,5.1,5024.01
61,8.7,5024.02
189,6.2,5025
308,6.2,5026.02
22,3.7,5026.03
103,4.2,5026.04
221,2.7,5027
376,3.1,5028.01
151,1.9,5029.01
574,7.9,5030
405,6.8,5031.03
108,4.4,5031.04
140,4.2,5031.05
197,3.0,5031.06
77,4.3,5032.01
258,2.4,5032.02
60,4.3,5033.01
238,4.7,5033.02
368,7.7,5034.01
209,6.0,5034.02
302,8.0,5035.01
109,4.1,5035.02
70,4.7,5036.01
177,3.5,5036.02
75,4.2,5037.01
304,4.9,5037.02
46,7.1,5037.04
3,6.1,5037.05
103,5.0,5038.01
105,6.4,5038.02
172,6.5,5039.01
90,4.0,5039.02
118,4.5,5040.01
159,3.3,5040.02
157,12.8,5041.01
513,5.8,5042
47,6.2,5300.05
220,6.9,5300.06
270,7.1,5300.07
729,17.5,5301.01
166,6.7,5301.02
137,6.5,5302.02
164,10.0,5302.03
200,5.4,5302.04
182,5.5,5303.01
617,9.7,5303.02
320,8.1,5304
280,6.8,5305
274,11.4,5306.03
217,6.0,5307
369,7.2,5308.01
223,4.4,5308.02
384,6.1,5309.01
295,7.1,5309.02
351,5.9,5310
383,8.4,5311.01
237,8.8,5311.02
353,2.3,5312.01
248,13.1,5312.02
605,6.5,5313.01
551,4.0,5313.02
312,11.0,5315.02
178,0.7,5315.03
168,6.9,5315.04
530,4.1,5316.02
243,8.1,5316.03
520,7.4,5316.04
739,8.5,5317.01
320,6.8,5317.02
279,4.7,5318
616,2.9,5319.01
357,6.1,5319.02
330,6.6,5320.01
340,7.1,5320.02
401,7.8,5321.01
138,3.9,5321.02
379,4.7,5322
185,5.9,5323.02
421,6.7,5323.03
772,13.0,5323.04
404,9.9,5325
408,10.6,5326.05
587,6.4,5326.06
704,6.7,5326.07
391,6.2,5327
482,4.7,5328
1149,7.1,5329
548,9.0,5330.01
417,10.7,5330.02
367,2.8,5331.03
482,4.3,5331.04
339,18.0,5331.05
706,12.1,5331.08
232,19.0,5332.01
282,9.6,5332.04
260,4.4,5333
649,5.9,5334.01
408,9.1,5334.02
126,6.0,5334.03
299,11.9,5335.01
249,8.9,5335.04
544,9.0,5336.01
334,4.7,5336.02
913,10.6,5336.03
193,2.0,5337.01
466,8.0,5337.02
334,10.0,5337.03
631,4.8,5338.03
274,7.1,5338.04
484,1.9,5338.05
328,7.8,5338.06
742,5.7,5339.01
507,4.2,5339.02
488,7.1,5340.01
378,4.2,5340.02
314,7.8,5341.01
813,10.3,5341.02
489,1.9,5342.01
846,11.1,5342.02
386,3.5,5342.03
440,9.9,5343.01
521,7.4,5343.02
406,5.9,5344.03
428,7.6,5344.04
517,7.5,5344.05
610,7.0,5344.06
505,18.0,5345.01
478,5.6,5345.02
169,5.5,5347
175,6.1,5348.02
336,6.2,5348.03
422,10.2,5348.04
401,16.3,5349
386,8.2,5350.01
526,5.1,5350.02
893,10.7,5351.01
378,4.9,5351.02
528,11.4,5352
882,4.6,5353
342,3.2,5354
358,9.6,5355.01
605,7.3,5355.02
202,13.0,5355.03
532,15.6,5356.03
353,9.5,5356.04
475,16.7,5356.05
118,11.3,5356.06
217,5.6,5356.07
399,10.8,5357.01
476,5.3,5357.02
423,6.0,5358.02
306,8.7,5358.03
717,8.4,5358.04
331,6.6,5359.01
378,4.1,5359.02
244,11.3,5360
192,4.4,5361.02
371,11.7,5361.03
244,9.5,5361.04
353,7.8,5362.01
275,8.7,5362.02
580,9.3,5400
506,13.8,5401.01
358,7.1,5401.02
334,15.1,5402.01
660,7.6,5402.02
766,7.1,5402.03
249,6.0,5403
294,5.6,5404
375,5.1,5405.01
728,11.6,5405.02
575,24.7,5406
217,11.0,5407
265,4.5,5408
424,5.0,5409.01
509,9.5,5409.02
175,14.2,5410.03
347,15.1,5411
184,4.4,5412
283,11.1,5413
710,10.1,5414.01
241,2.3,5414.02
419,6.6,5415
420,9.9,5416.03
617,5.8,5416.04
505,8.6,5416.05
255,7.6,5416.06
386,12.5,5417
227,12.7,5418.01
160,9.5,5418.02
257,7.8,5420
258,8.8,5421.03
335,2.2,5421.04
357,12.0,5421.05
353,6.1,5421.06
797,7.5,5422
309,15.4,5424.01
127,8.9,5424.02
707,13.7,5425.01
740,5.6,5425.02
489,5.8,5426.01
411,11.3,5426.02
392,8.5,5427
256,7.3,5428
370,7.5,5429
242,12.4,5430
463,7.2,5431
168,9.3,5432.01
541,13.3,5432.03
42,8.2,5433.04
420,6.1,5433.05
356,5.7,5433.06
359,9.1,5433.21
213,7.5,5433.22
124,3.9,5434
469,7.3,5435.01
255,7.3,5435.02
304,4.2,5435.03
317,9.2,5436.01
123,4.0,5436.03
158,3.8,5436.05
120,1.0,5436.06
61,3.7,5436.07
104,6.2,5437.01
149,11.1,5437.03
91,6.5,5437.04
225,2.4,5437.05
165,5.7,5438.01
259,1.9,5438.03
163,3.4,5438.04
150,6.8,5439.03
244,7.9,5439.05
148,4.3,5440.01
347,8.3,5440.02
198,5.2,5501.01
136,2.2,5502.01
327,6.5,5502.02
88,7.5,5503.01
86,4.9,5505.01
67,2.7,5505.02
469,5.5,5506.01
74,1.0,5506.02
139,6.4,5507
93,3.9,5508.01
62,6.0,5508.02
566,14.1,5509.01
397,6.6,5509.02
9,0.8,5510.01
28,9.5,5510.02
203,2.5,5511.01
502,3.7,5511.02
81,6.7,5512.01
185,11.9,5512.03
257,3.5,5512.04
431,7.3,5513
169,11.0,5514.01
294,7.2,5514.02
157,7.3,5515.01
134,3.7,5515.02
215,5.7,5517
46,4.6,5518.01
265,6.6,5518.02
179,2.3,5519
91,5.1,5520.01
232,6.6,5520.02
260,5.4,5521
450,4.2,5522
254,5.4,5523.01
205,1.4,5523.02
49,4.6,5524
238,7.1,5526.01
366,6.6,5526.02
349,8.2,5527
196,7.6,5528
613,2.7,5529
118,5.2,5530
367,12.2,5531
148,5.0,5532.01
150,3.8,5532.02
131,4.7,5533
105,4.6,5534
247,2.8,5535.02
307,1.0,5535.03
272,6.9,5535.04
468,4.8,5536.01
288,8.3,5536.02
379,4.1,5537.01
274,3.9,5537.02
480,8.5,5538.01
623,7.5,5538.02
280,4.1,5539.01
648,5.4,5539.02
186,5.8,5540.01
334,11.0,5540.02
287,10.0,5541.01
509,9.6,5541.05
363,6.2,5541.06
85,3.6,5542.01
280,9.1,5542.03
275,8.7,5542.04
143,4.1,5543.01
350,8.8,5543.02
610,9.3,5544.03
240,2.9,5544.04
284,9.0,5544.05
194,7.2,5544.06
38,4.1,5545.11
145,7.4,5545.12
32,2.2,5545.13
152,5.2,5545.14
12,1.6,5545.15
40,12.5,5545.16
197,3.6,5545.17
109,3.3,5545.18
73,6.8,5545.19
162,6.2,5545.21
149,5.1,5545.22
159,5.8,5546
162,8.7,5547
149,6.8,5548.01
259,9.0,5548.02
172,4.2,5549
360,4.5,5550.01
161,3.7,5550.02
301,4.6,5551.05
83,7.7,5551.06
206,9.2,5551.07
181,6.5,5552.02
584,3.7,5552.11
506,2.2,5552.12
946,2.6,5553
92,8.4,5700.01
66,3.9,5700.02
98,6.3,5700.03
293,9.2,5701
634,7.0,5702.02
316,7.6,5702.03
334,6.5,5702.04
304,3.7,5703.03
415,6.2,5703.04
568,2.3,5703.05
449,4.9,5703.06
235,12.3,5704.02
345,4.5,5704.03
475,15.7,5704.04
330,7.5,5705.02
730,19.0,5705.03
814,11.1,5705.04
412,9.4,5706.01
215,10.3,5706.02
601,11.4,5706.03
235,4.8,5707.01
106,1.4,5707.03
226,3.4,5708
293,11.2,5709.01
120,3.7,5709.02
90,3.8,5710
55,2.2,5711.01
134,3.8,5711.02
175,5.0,5712.01
295,4.1,5712.02
56,5.5,5713
167,5.3,5714
252,5.7,5715.02
311,2.1,5715.04
241,6.3,5715.05
436,14.5,5716
793,8.2,5717.01
195,4.8,5717.03
423,5.8,5717.04
25,3.4,5718
133,3.9,5719
211,1.7,5720.01
538,9.1,5722.01
62,2.2,5722.02
338,7.2,5723.01
406,10.7,5725
394,11.1,5726
230,7.3,5727
389,7.5,5730.02
180,6.9,5730.03
496,5.4,5730.04
673,10.9,5731.01
246,4.0,5731.02
666,4.5,5732.01
699,5.1,5732.02
566,12.3,5733
81,3.5,5734.01
515,3.7,5734.02
130,2.8,5734.03
150,3.2,5736.01
86,3.3,5737
205,3.6,5738
15,1.0,5739.02
66,2.4,5740
137,2.3,5741
67,6.1,5742.01
37,2.7,5742.02
12,11.2,5743
93,2.7,5744
145,2.7,5745
45,0.0,5746.02
259,3.9,5748
186,4.5,5749.01
1480,6.3,5749.02
582,8.1,5750.01
385,5.1,5750.02
578,6.4,5751.01
546,6.0,5751.02
421,7.6,5751.03
529,10.1,5752.01
424,16.3,5752.02
478,12.1,5753
818,16.2,5754.01
474,8.4,5754.02
355,6.4,5758.01
644,10.5,5758.02
368,9.3,5758.03
698,14.1,5759.01
633,7.1,5759.02
235,5.4,5760.01
985,12.8,5762
517,4.2,5763.01
410,11.9,5763.02
685,7.8,5764.01
678,8.0,5764.02
629,9.7,5764.03
427,8.8,5765.01
517,5.9,5765.02
292,5.1,5765.03
373,8.5,5766.01
548,4.5,5766.02
215,4.9,5767
324,2.6,5768.01
201,4.4,5768.02
929,8.1,5769.01
478,3.7,5769.03
567,4.3,5769.04
682,2.1,5770
371,5.3,5771
622,3.8,5772
192,4.3,5773
204,1.2,5774
258,4.4,5775.01
48,3.1,5775.04
135,4.9,5776.02
16,1.3,5776.04
264,4.3,5776.05
167,2.6,5776.06
191,7.3,5777
82,8.0,5778
287,5.1,5779
979,9.5,5780
0,17.9,5781
271,0.0,5990
64,0.0,5991
1093,7.9,6001
799,13.9,6002.01
1124,8.8,6002.02
247,10.2,6003.02
607,13.6,6003.03
599,8.0,6003.04
430,13.4,6004
79,2.5,6005.01
86,6.8,6006.01
363,7.0,6006.02
331,1.3,6007.02
49,6.1,6007.03
211,5.2,6007.04
140,5.4,6008.01
208,10.2,6008.02
623,10.4,6009.02
276,5.7,6009.11
333,4.5,6009.12
97,8.6,6010.01
542,9.5,6010.02
700,10.2,6011
176,6.9,6012.02
235,6.4,6012.11
856,5.2,6012.12
81,8.0,6013.01
554,6.9,6013.02
551,5.9,6013.03
1065,8.0,6014.01
422,7.4,6014.02
671,3.7,6015.01
402,13.3,6015.02
429,2.8,6016
533,10.2,6017
361,3.7,6018.01
214,5.9,6018.02
528,11.4,6019
158,2.7,6020.02
158,8.2,6020.03
633,9.9,6021.03
536,8.5,6021.04
338,7.2,6021.05
377,2.4,6021.06
140,1.5,6022.01
201,4.7,6022.02
296,6.1,6023.01
113,7.5,6023.02
179,4.4,6024.02
382,8.6,6024.03
657,15.3,6024.04
553,5.4,6025.04
573,7.8,6025.05
377,6.3,6025.06
279,5.5,6025.07
477,5.8,6025.10
202,2.6,6025.11
189,2.0,6025.12
357,5.0,6025.13
239,0.1,6026.01
80,3.8,6026.02
197,7.8,6027
352,8.8,6028.01
132,14.5,6028.02
335,5.1,6029
34,5.4,6030.04
426,3.4,6030.05
73,2.3,6030.06
677,1.1,6030.07
127,4.1,6030.08
574,3.7,6031.01
275,4.7,6031.02
197,1.2,6032
173,5.8,6033.01
365,5.3,6033.02
97,5.8,6034
108,4.4,6035
335,2.6,6036
177,5.4,6037.02
68,1.7,6037.03
160,11.7,6037.05
323,2.2,6037.06
413,8.2,6038.01
183,3.4,6038.02
234,2.4,6039.01
226,10.0,6039.02
288,12.0,6040.01
334,7.0,6040.02
328,8.8,6041.01
212,0.9,6041.02
294,7.1,6042
194,5.5,6099
92,4.6,6200.01
132,7.7,6200.02
89,7.9,6201.01
159,5.9,6201.02
68,2.9,6202.01
23,2.7,6203.01
173,6.1,6203.03
94,6.2,6203.05
22,8.5,6204
160,3.1,6205.01
155,3.1,6205.21
175,1.0,6205.22
108,8.6,6206.01
90,5.7,6206.02
158,2.7,6207.01
61,1.5,6207.03
62,3.8,6207.04
113,8.7,6208.01
70,0.0,6208.02
60,0.5,6209.01
42,5.2,6209.04
126,5.3,6210.01
139,2.8,6210.05
115,5.9,6211.02
237,3.1,6211.04
165,4.3,6212.01
39,0.5,6212.04
229,5.4,6213.01
51,3.9,6213.24
103,2.1,6213.26
114,1.0,6214
427,3.7,6500.01
259,13.0,6500.03
243,5.5,6500.04
222,5.9,6501.01
74,6.4,6501.02
196,3.6,6502
270,5.5,6503
80,5.1,6504.01
14,0.0,6505.01
159,1.8,6505.02
202,6.1,6506.03
431,4.3,6506.04
67,1.1,6506.05
227,7.6,6506.06
27,7.2,6506.07
61,3.1,6507.01
20,6.1,6507.02
124,1.5,6508.01
94,3.7,6508.02
295,5.6,6509.01
199,9.7,6509.03
98,0.0,6509.04
166,4.0,6510.01
130,1.4,6510.02
106,5.5,6511.01
105,5.3,6511.02
272,4.4,6512.01
246,6.7,6512.21
144,5.6,6512.22
122,7.5,6513.02
89,3.5,6513.04
14,4.7,6514.01
214,1.0,6514.02
134,2.0,6700.01
285,3.3,6700.02
165,3.5,6700.03
357,0.0,6701.01
289,5.0,6701.02
75,7.7,6702.01
11,3.3,6702.02
107,3.1,6703.24
183,2.1,6703.26
70,0.9,6703.28
20,3.7,6704.05
12,3.9,6704.06
227,6.9,6704.07
79,7.1,6704.13
180,8.3,6704.16
39,3.1,6704.17
27,2.4,6704.18
20,5.6,6705
0,0.0,6706.03
93,1.2,6706.04
55,4.9,6707.01
71,3.2,6707.02
343,6.1,7001.01
481,8.6,7001.02
611,4.1,7002
325,5.9,7003
316,3.3,7004
273,7.8,7005.01
334,8.7,7005.02
147,8.5,7006
70,0.6,7007
100,7.9,7008.01
382,14.0,7008.02
217,1.9,7009.01
402,5.8,7009.02
405,10.6,7010
62,7.5,7012.01
157,7.2,7012.02
256,6.5,7013.02
238,5.6,7013.04
386,4.8,7014.02
230,4.9,7015.01
80,2.9,7015.02
41,8.3,7016.01
232,4.4,7016.02
279,4.7,7017.01
313,6.3,7017.02
776,9.4,7018.01
509,5.5,7018.02
674,10.7,7019.02
328,9.0,7020.02
319,6.8,7021.02
258,5.3,7022.01
128,6.3,7022.02
431,3.2,7023
133,5.2,7024
137,4.7,7025.01
139,6.7,7025.02
71,2.9,7026
127,4.5,7027
249,5.4,7028.01
88,3.4,7028.02
159,9.1,7028.03
692,5.3,7029
439,9.7,7030.02
171,6.0,7030.03
439,9.3,7031
181,13.8,7032
77,8.7,8001.01
203,9.0,8001.03
132,6.6,8001.04
85,4.8,8002.02
91,4.4,8002.04
548,6.4,8002.05
128,3.7,8002.06
193,5.5,8003.24
123,2.4,8003.25
16,3.3,8003.28
49,5.2,8003.33
156,5.7,8003.34
116,4.4,8003.35
14,2.2,8003.36
683,18.5,8003.37
46,1.8,8003.38
68,5.3,8004.06
41,7.0,8004.10
85,2.8,8004.11
211,5.9,8004.12
304,0.4,8005.04
187,4.2,8005.06
74,5.8,9001.02
861,10.1,9001.03
369,8.2,9001.04
288,6.2,9003.01
886,6.8,9005.01
530,4.0,9005.04
782,19.9,9005.05
366,6.5,9005.06
359,6.3,9005.08
386,5.4,9005.09
439,5.7,9005.10
525,5.2,9006.02
591,9.8,9006.06
362,8.1,9006.07
468,5.3,9006.08
724,4.2,9006.09
482,3.6,9006.10
500,6.4,9006.11
784,15.8,9007.01
560,7.6,9007.03
307,6.1,9007.04
255,4.7,9007.05
424,8.3,9008.04
331,7.7,9008.05
735,16.0,9008.06
547,9.6,9008.07
382,1.6,9008.08
169,5.9,9009.01
127,3.1,9009.02
0,-,9010.03
107,4.3,9010.07
271,3.8,9010.08
429,8.6,9010.09
568,8.1,9010.10
484,5.2,9010.11
93,1.4,9010.12
53,3.6,9010.13
216,6.4,9010.14
252,9.3,9011.01
274,4.3,9011.02
124,4.7,9012.09
79,3.7,9012.10
259,5.1,9012.14
149,2.0,9012.15
30,9.4,9012.16
34,1.8,9012.17
16,5.9,9012.18
153,5.9,9013
1220,9.1,9100.02
139,4.2,9102.10
0,1.5,9102.11
281,7.9,9102.12
99,3.9,9102.13
261,7.9,9102.14
230,6.7,9102.15
160,3.3,9102.16
225,7.3,9102.17
402,5.9,9102.18
120,3.6,9103.01
155,1.7,9103.02
142,7.6,9104.01
283,11.6,9104.04
921,6.4,9104.05
894,14.8,9105.01
500,9.2,9105.02
584,9.3,9105.04
185,8.1,9105.05
616,6.9,9106.01
493,8.8,9106.02
321,7.4,9106.05
342,9.2,9106.06
237,7.8,9106.07
239,8.2,9106.08
475,8.1,9107.06
315,8.6,9107.07
85,5.0,9107.09
149,8.8,9107.12
641,8.8,9107.13
190,5.4,9107.14
304,11.1,9107.15
415,7.4,9107.16
114,4.6,9107.17
361,3.8,9107.18
159,7.0,9107.19
557,12.8,9107.20
92,9.9,9107.21
176,3.7,9108.04
317,5.2,9108.07
36,5.3,9108.08
55,7.6,9108.09
31,4.2,9108.10
151,3.4,9108.14
365,4.2,9108.15
385,13.6,9110.01
829,9.0,9111
205,3.9,9200.13
70,2.9,9200.15
20,2.5,9200.16
105,4.8,9200.17
84,3.2,9200.18
127,4.0,9200.20
992,5.3,9200.28
351,2.1,9200.29
220,11.4,9200.30
221,2.6,9200.31
216,4.9,9200.34
496,3.0,9200.35
131,14.2,9200.38
55,13.0,9200.39
55,5.4,9200.40
114,5.0,9200.41
259,3.3,9200.42
285,5.7,9200.43
65,1.9,9200.44
71,6.9,9200.45
64,4.8,9200.46
922,4.2,9200.47
276,6.8,9200.48
300,5.1,9200.49
71,7.1,9200.50
192,6.9,9201.02
46,11.1,9201.04
109,9.2,9201.06
88,6.3,9201.09
57,10.1,9201.10
48,6.6,9201.11
64,6.7,9201.12
345,5.3,9201.14
67,4.0,9201.15
244,4.7,9201.16
39,4.1,9201.18
70,2.8,9201.19
10,4.2,9201.20
288,5.1,9201.21
0,-,9202
68,4.9,9203.03
410,2.2,9203.12
273,4.5,9203.13
271,5.6,9203.14
135,7.6,9203.22
175,8.6,9203.26
85,4.1,9203.28
351,8.3,9203.29
157,1.1,9203.30
72,1.9,9203.31
19,4.2,9203.32
263,7.7,9203.34
122,10.9,9203.38
431,7.5,9203.39
280,2.4,9203.40
495,7.3,9203.41
197,7.5,9203.42
455,2.7,9203.43
137,6.3,9304
0,-,9800.01
0,-,9800.02
0,-,9800.03
0,-,9800.04
0,-,9800.05
0,-,9800.06
0,-,9800.07
0,0.0,9800.08
0,0.0,9800.09
10,4.5,9800.10
12,0.0,9800.11
0,-,9800.12
0,-,9800.13
14,0.0,9800.14
196,10.5,9800.15
0,9.6,9800.16
489,43.6,9800.17
0,-,9800.18
0,9.5,9800.19
0,-,9800.20
0,0.0,9800.21
0,-,9800.22
0,-,9800.23
21,4.3,9800.24
0,6.7,9800.25
0,-,9800.26
0,-,9800.28
0,-,9800.30
0,0.0,9800.31
0,-,9800.33
0,0.0,9800.34
59,7.0,9800.35
93,4.4,9800.36
0,-,9800.37
0,-,9800.38
0,-,9800.39
0,-,9901
0,-,9902
0,-,9903
199,15.9,1.02
475,6.1,1.03
319,3.0,1.04
261,5.0,1.06
112,8.1,1.09
346,9.5,1.10
185,30.0,1.11
101,14.3,2.01
112,6.0,2.03
520,8.4,2.04
260,6.4,3.01
180,4.9,3.02
282,7.6,5.06
405,9.7,5.09
147,15.8,5.10
420,5.2,5.11
151,7.2,5.12
0,4.2,5.13
1418,16.4,5.14
250,7.6,5.15
66,5.1,5.16
78,5.7,5.17
192,22.9,5.18
627,20.0,6.02
954,16.3,6.03
598,12.3,6.04
134,2.9,7.01
539,5.8,7.02
503,3.1,8.01
695,7.0,8.02
752,7.0,9.01
757,18.5,9.02
612,14.9,9.03
404,5.5,11
7,3.8,1011
116,2.2,1012
22,3.3,1021
218,1.8,1022.02
473,4.2,1022.03
114,3.2,1031
379,8.2,1032
199,1.8,1041.02
59,3.1,1041.03
169,3.2,1041.04
242,5.5,1042
57,8.4,1043
115,14.0,1050.01
52,0.0,1050.02
72,6.2,1060.01
99,5.6,1060.02
108,3.1,1070
122,9.3,1081
228,13.8,1082.01
172,9.4,1082.02
250,1.8,1090.01
81,2.0,1090.02
525,5.0,1101
20,1.0,1102
77,0.0,1110.01
105,4.1,1110.02
232,4.4,1121
313,3.6,1122.02
367,4.0,1122.03
836,2.4,1122.04
151,4.3,1130
276,9.6,1141
86,10.8,1142
124,4.2,1150
0,4.6,1160
141,4.8,1170
56,5.6,1181
98,5.8,1191
189,1.9,1192.01
170,3.6,1192.02
0,0.0,1200.01
151,6.9,1200.02
184,5.5,1211
141,3.0,1212
0,0.0,1220
76,2.1,1230
24,1.7,1241
45,8.3,1242
140,5.9,1250
110,2.0,1261
282,1.6,1262
157,3.1,1270
81,3.6,1281
195,3.1,1282
232,0.7,1290
107,3.3,1302.01
30,14.3,1302.03
77,1.0,1302.04
112,3.0,1311
131,3.2,1321
95,8.2,1322
110,3.5,1330
0,-,9901
583,10.4,1.01
272,7.9,1.02
169,8.4,2
352,6.8,3.01
88,10.8,3.02
162,8.3,4
369,14.3,101
489,21.3,102
213,7.5,103
343,4.6,104
475,7.8,105
192,14.1,106.01
198,5.6,106.02
678,9.7,107
284,4.6,108.01
114,1.2,108.02
430,11.7,109
195,7.2,110.01
179,9.9,110.03
48,2.5,110.04
214,7.2,111.02
402,8.2,112
566,4.2,113
219,1.5,114
244,15.0,115.01
430,21.2,115.02
604,8.6,116
212,7.2,117
166,12.7,118
0,-,9901
383,8.0,2.01
143,9.0,2.02
593,10.7,2.04
364,13.5,2.05
414,7.2,3.01
