Estimate!!Total!!Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Estimate!!Unemployment rate!!Population 16 years and over,Tract Number
191,10.9,3040.02
149,3.8,3040.03
311,4.7,3040.04
116,5.3,3040.06
208,5.7,3040.07
769,11.3,3050
283,9.0,3060.02
242,5.6,3060.03
361,3.5,3060.04
237,8.6,3071.01
262,10.7,3071.02
363,6.1,3072.01
753,15.2,3072.02
72,11.1,3072.04
707,11.0,3072.05
570,11.2,3080.01
111,7.3,3080.02
397,14.2,3090
491,6.2,3100
397,6.6,3110
258,7.7,3120
175,9.4,3131.02
417,7.1,3131.04
267,11.1,3131.05
416,6.4,3131.06
151,9.4,3131.07
109,3.3,3132.03
233,5.4,3132.04
17,6.6,3132.05
634,4.2,3132.06
174,4.5,3141.02
458,7.7,3141.03
233,3.9,3141.05
207,12.5,3141.06
1043,12.1,3142
209,4.6,3150
276,6.4,3160
156,11.9,3170
186,6.6,3180
138,2.3,3190.01
183,5.1,3190.02
76,8.5,3200.01
0,0.5,3200.03
150,1.9,3200.04
259,5.4,3211.01
185,7.1,3211.02
104,2.6,3211.03
374,6.7,3212
242,3.5,3220
75,5.3,3230
286,2.5,3240.02
220,5.5,3240.03
134,3.2,3240.04
363,2.0,3250
147,4.2,3260
84,4.1,3270.01
213,5.4,3270.02
287,4.3,3280
252,3.5,3290
263,5.4,3300
669,2.8,3310
398,3.3,3320
134,5.7,3331.01
117,5.6,3331.02
170,4.1,3332
238,6.0,3340.01
82,3.2,3340.06
231,8.9,3340.07
96,1.5,3340.08
205,7.5,3342
175,1.7,3350
415,4.2,3361.01
324,6.3,3361.03
152,2.0,3361.04
142,6.6,3362.01
656,4.4,3362.02
100,6.0,3371
405,3.3,3372.01
460,5.8,3372.02
88,8.6,3373
323,5.3,3381.01
60,4.3,3381.02
54,3.5,3382.01
201,4.7,3382.03
125,5.2,3382.04
14,2.0,3383.01
10,7.7,3383.02
236,7.9,3390.01
411,3.6,3390.03
73,3.7,3390.04
279,5.4,3400.01
86,8.4,3400.03
35,6.7,3400.04
28,1.9,3410
174,5.1,3430.01
208,0.2,3430.02
45,3.0,3430.03
73,2.3,3451.01
21,7.2,3451.02
56,4.8,3451.03
222,2.5,3451.05
181,3.6,3451.11
59,3.8,3451.12
174,2.6,3451.13
26,3.0,3451.14
15,5.7,3451.15
34,4.2,3451.16
28,2.9,3451.17
93,4.2,3451.18
199,5.3,3452.03
40,2.5,3452.04
95,3.4,3452.05
72,2.4,3452.06
56,2.7,3461.01
196,0.1,3461.02
111,2.1,3462.03
40,5.7,3462.04
14,1.1,3462.05
109,3.5,3462.06
99,2.9,3470
167,2.3,3480
198,4.5,3490
65,2.7,3500
0,2.0,3511.01
41,0.0,3511.03
0,0.0,3511.04
16,13.3,3511.05
44,3.6,3512
18,4.3,3521.01
59,4.3,3521.02
463,6.7,3522.01
13,1.5,3522.02
63,3.3,3530.01
56,1.2,3530.02
50,0.0,3540.01
55,5.2,3540.02
155,8.0,3551.07
675,12.9,3551.09
121,6.7,3551.10
183,5.0,3551.11
156,6.1,3551.12
409,2.3,3551.13
531,6.1,3551.15
96,1.9,3551.18
373,2.9,3551.19
591,7.8,3551.20
155,2.7,3551.21
239,5.4,3551.22
227,8.9,3551.23
10,7.6,3551.24
71,2.0,3551.25
35,1.4,3551.26
125,1.9,3552.01
75,9.1,3552.02
43,2.1,3553.02
75,1.4,3553.06
95,12.4,3553.07
0,5.2,3553.08
99,2.7,3553.09
148,6.5,3553.10
125,9.8,3560.01
233,8.9,3560.02
147,7.3,3570
452,5.1,3580
146,2.5,3591.02
138,5.4,3591.03
240,3.7,3591.04
71,3.7,3591.05
224,7.2,3592.02
123,2.4,3592.03
294,1.9,3592.04
49,3.2,3601.01
119,5.2,3601.02
165,1.8,3602
221,5.0,3610
92,3.6,3620
432,3.9,3630
190,3.2,3640.02
459,5.0,3650.02
289,4.5,3650.03
296,5.4,3660.01
397,7.2,3660.02
565,11.8,3671
537,9.9,3672
296,11.0,3680.01
244,5.6,3680.02
432,6.1,3690.01
242,4.2,3690.02
83,2.5,3700
197,1.8,3710
564,6.7,3720
350,4.3,3730
585,6.3,3740
348,7.6,3750
630,6.5,3760
1081,12.9,3770
163,1.6,3780
543,3.9,3790
133,4.7,3800.01
237,13.5,3800.02
842,6.0,3810
798,6.7,3820
355,8.1,3830
88,3.9,3840
191,5.2,3851
52,5.9,3852
510,9.5,3860
154,4.1,3870
190,4.4,3880
64,4.8,3891
190,3.0,3892
10,4.3,3901
52,2.1,3902
34,3.0,3910
95,3.0,3920
371,7.1,3922.01
171,7.4,3922.02
173,4.1,3923
0,-,9800
0,-,9900
780,4.7,1.01
292,13.2,1.02
306,6.7,1.04
65,6.7,1.06
227,0.0,1.07
290,7.6,2.01
249,3.6,2.02
146,14.6,2.03
0,-,9900
176,5.4,302.01
234,7.0,302.02
329,3.2,303.01
130,3.6,303.02
432,6.3,304.02
11,7.2,304.03
126,2.6,304.04
50,3.0,305.02
64,6.5,305.04
40,7.2,305.06
59,0.0,305.07
198,5.3,306.01
344,5.2,306.03
121,31.1,306.04
85,6.6,306.05
322,4.2,306.06
282,3.4,307.01
271,3.1,307.06
115,3.4,307.09
170,5.4,307.10
120,1.6,307.11
18,1.6,307.12
104,3.4,308.01
258,4.0,308.04
50,3.7,308.07
139,3.9,308.08
148,2.4,308.09
185,2.7,308.10
94,0.0,308.11
135,4.3,308.12
231,6.0,309.01
110,4.6,309.02
449,6.3,310
497,4.3,311
229,8.3,312
209,4.8,313.01
867,3.8,313.02
113,5.7,314.04
81,4.8,314.05
387,4.9,314.06
499,9.2,314.07
61,12.0,314.08
78,7.4,314.09
64,8.0,315.03
492,6.7,315.04
28,1.2,315.05
116,12.4,315.06
194,5.7,316.01
237,4.1,316.02
39,3.8,317
67,2.0,318
8,16.7,319
43,0.0,320.01
5,0.0,320.02
0,-,9900
320,10.6,1
468,12.4,2
1282,8.6,3
1550,24.7,4
549,12.4,5.01
714,7.2,5.02
720,11.6,6.01
267,38.9,6.02
602,25.9,7.01
286,20.4,7.02
535,9.3,9.01
1234,21.1,9.02
852,17.4,10
652,11.2,11
743,14.3,12.01
550,10.4,12.02
765,10.0,13.01
481,9.7,13.03
999,8.1,13.04
749,16.1,14.07
150,16.1,14.08
204,9.6,14.09
735,5.6,14.11
257,11.3,14.12
343,4.8,14.13
450,15.8,14.15
396,5.5,14.16
597,7.9,14.17
131,0.0,14.18
202,7.9,15
408,6.0,16
439,7.3,17
361,5.8,18
1246,20.5,20
735,14.2,21
574,14.9,22
831,15.4,23
865,8.2,24
808,13.4,25.01
897,11.5,25.02
855,9.1,26.01
619,5.8,26.02
714,7.7,27.01
811,11.8,27.02
806,13.8,28
760,15.1,29.03
571,17.9,29.04
456,13.4,29.05
727,14.5,29.06
382,16.3,30.01
497,3.1,30.03
304,4.1,30.04
748,7.8,31.02
902,11.7,31.03
395,5.6,31.04
412,8.1,32.01
1040,17.5,32.02
559,8.8,33.01
613,10.7,33.02
459,22.0,34.01
267,4.0,34.02
797,10.8,35
248,3.4,36
442,7.9,37.01
971,13.4,37.02
427,13.8,38.04
957,12.3,38.05
492,14.8,38.07
264,6.1,38.08
501,8.3,38.09
303,6.2,38.10
174,9.7,38.11
31,5.1,38.12
604,5.7,39
75,2.5,40.03
444,13.1,40.04
239,15.0,40.05
261,17.3,40.06
343,13.1,41
978,13.1,42.05
208,4.0,42.08
217,4.1,42.10
440,6.5,42.11
1413,8.6,42.12
173,14.0,42.13
172,4.8,42.14
170,9.2,42.15
119,8.0,42.16
616,19.8,42.17
485,7.2,42.18
39,2.9,43.01
144,4.7,43.02
74,5.0,43.03
410,7.6,44.04
19,1.9,44.05
239,7.7,44.06
150,4.8,44.09
152,2.7,44.10
141,2.3,44.11
387,2.2,45.03
397,4.9,45.04
680,6.1,45.05
126,2.6,45.06
283,6.7,46.01
97,9.6,46.02
293,12.8,47.03
1057,16.9,47.04
86,11.4,47.05
514,4.7,47.06
576,9.7,48.01
659,10.6,48.02
436,10.4,49.01
112,8.6,49.02
279,6.6,50
1072,20.0,51
608,8.5,52.02
766,11.1,52.03
490,11.7,52.04
656,7.8,53.01
801,11.7,53.02
1131,13.3,53.04
394,15.0,53.05
1432,22.1,54.03
356,7.2,54.05
223,9.7,54.06
179,3.3,54.07
472,15.6,54.08
533,10.0,54.09
305,11.1,54.10
38,1.9,55.03
113,5.3,55.04
97,4.2,55.05
194,3.1,55.07
123,1.4,55.08
335,5.8,55.09
136,5.6,55.12
87,7.4,55.13
51,6.1,55.14
47,4.5,55.15
168,5.1,55.16
161,5.4,55.18
21,9.6,55.20
26,5.5,55.22
57,4.3,55.24
8,2.5,55.25
39,6.4,55.26
222,13.3,55.27
148,0.0,55.28
146,1.8,55.29
387,7.8,56.02
3,6.9,56.05
305,3.8,56.06
447,5.3,56.07
162,5.7,56.08
179,6.5,57.01
103,2.6,57.02
170,6.0,57.03
369,13.4,57.04
279,3.8,58.01
119,4.2,58.02
552,5.7,58.04
241,4.9,58.05
174,5.7,59.04
151,4.3,59.06
